Patient State,Patient ZIP-3,Cohort Patient Count or %,White,Black or African American,Asian or Pacific Islander,Hispanic or Latino,Other,Unknown
US-MA,011,406.0000,121.00,69.00,6.00,168.00,9.00,33.00
US-IL,609,406.0000,287.00,45.00,15.00,34.00,7.00,18.00
US-IN,474,405.0000,296.00,9.00,5.00,8.00,15.00,72.00
US-PA,156,404.0000,337.00,5.00,4.00,7.00,4.00,47.00
US-UT,847,403.0000,322.00,7.00,3.00,41.00,18.00,12.00
US-PA,185,402.0000,194.00,20.00,2.00,35.00,2.00,149.00
US-NJ,076,400.0000,137.00,37.00,27.00,74.00,34.00,91.00
US-VA,221,400.0000,162.00,77.00,35.00,72.00,15.00,39.00
US-KY,418,399.0000,293.00,6.00,3.00,2.00,48.00,47.00
US-CA,939,398.0000,101.00,19.00,17.00,98.00,28.00,135.00
US-KY,423,397.0000,270.00,13.00,,10.00,38.00,66.00
US-NJ,083,397.0000,169.00,44.00,2.00,51.00,46.00,85.00
US-NY,140,397.0000,262.00,15.00,1.00,11.00,16.00,92.00
US-CT,066,396.0000,119.00,75.00,5.00,161.00,6.00,30.00
US-TX,776,393.0000,201.00,50.00,2.00,24.00,9.00,107.00
US-MA,024,393.0000,253.00,31.00,22.00,43.00,22.00,22.00
US-PA,161,392.0000,283.00,16.00,2.00,7.00,10.00,74.00
US-KS,666,390.0000,278.00,48.00,5.00,37.00,8.00,14.00
US-TX,797,389.0000,142.00,20.00,1.00,89.00,4.00,133.00
US-OH,435,389.0000,288.00,13.00,2.00,28.00,10.00,48.00
US-CA,934,389.0000,148.00,7.00,4.00,58.00,58.00,114.00
US-IA,511,388.0000,275.00,27.00,11.00,50.00,15.00,10.00
US-PA,189,388.0000,232.00,8.00,7.00,21.00,63.00,57.00
US-CA,952,386.0000,94.00,39.00,15.00,82.00,20.00,136.00
US-WV,261,386.0000,342.00,14.00,1.00,9.00,5.00,15.00
US-OH,433,386.0000,243.00,10.00,1.00,12.00,10.00,110.00
